source	target	weight	pval	direction	color
org1	org2	0.148718871887189	0.0666975914034992	1	#E3CD81FF
org1	org3	0.12411641164116399	0.140989310946316	1	#E3CD81FF
org1	org4	-0.102226222622262	0.18753337776288398	-1	#9E1030FF
org1	org5	0.165196519651965	0.18478822950273802	1	#E3CD81FF
org1	org11	0.29893789378937896	0.121070371009409	1	#E3CD81FF
org1	org14	0.18952295229523	0.0227445385418832	1	#E3CD81FF
org1	org15	-0.148466846684668	0.0923734603915364	-1	#9E1030FF
org1	org16	-0.18666666666666698	0.141595230530947	-1	#9E1030FF
org1	org18	0.161368136813681	0.19563605436123901	1	#E3CD81FF
org1	org20	-0.16956495649565	0.0646617165300995	-1	#9E1030FF
org2	org5	0.210945094509451	0.103697701217607	1	#E3CD81FF
org2	org6	0.150759075907591	0.136518326634541	1	#E3CD81FF
org2	org7	0.14203420342034198	0.126901026396081	1	#E3CD81FF
org2	org10	0.203756375637564	0.16689551020972399	1	#E3CD81FF
org2	org12	0.24543654365436499	0.114265367342159	1	#E3CD81FF
org2	org15	-0.23018301830183	0.132536705490202	-1	#9E1030FF
org2	org20	0.14874287428742902	0.17000621729530402	1	#E3CD81FF
org3	org4	-0.113111311131113	0.11762649910524499	-1	#9E1030FF
org3	org5	-0.10682268226822698	0.14362761806696697	-1	#9E1030FF
org3	org6	-0.17774977497749803	0.14752803351730098	-1	#9E1030FF
org3	org8	0.17770177017701802	0.153249823860824	1	#E3CD81FF
org3	org9	0.134629462946295	0.11665002508088902	1	#E3CD81FF
org3	org12	-0.193255325532553	0.0519834905397147	-1	#9E1030FF
org3	org18	0.147002700270027	0.000447100261226296	1	#E3CD81FF
org3	org19	-0.173837383738374	0.0124199245125055	-1	#9E1030FF
org4	org5	0.278847884788479	0.156646162644029	1	#E3CD81FF
org4	org16	-0.166408640864086	0.12707323315553398	-1	#9E1030FF
org4	org19	-0.11985598559855999	0.0216226645745337	-1	#9E1030FF
org5	org11	0.11349534953495402	0.0112030005082488	1	#E3CD81FF
org5	org16	-0.112751275127513	0.11612457684241198	-1	#9E1030FF
org5	org18	-0.10251425142514302	0.0358853661455214	-1	#9E1030FF
org5	org20	0.108298829882988	0.179463332565501	1	#E3CD81FF
org6	org9	-0.159315931593159	0.0598709213081747	-1	#9E1030FF
org6	org14	0.19507950795079498	0.170184450410306	1	#E3CD81FF
org7	org9	-0.15896789678967901	0.12061201757751401	-1	#9E1030FF
org7	org13	-0.129300930093009	0.0310282561462373	-1	#9E1030FF
org7	org17	0.136513651365137	0.133738650614396	1	#E3CD81FF
org8	org9	-0.208292829282928	0.159971113875508	-1	#9E1030FF
org8	org10	-0.23869186918691895	0.199976309621707	-1	#9E1030FF
org8	org12	-0.13928592859285902	0.0865894172340632	-1	#9E1030FF
org8	org13	0.126000600060006	0.0548502731136978	1	#E3CD81FF
org8	org15	-0.127320732073207	0.0564226160757244	-1	#9E1030FF
org8	org18	-0.11175517551755199	0.0839141529519111	-1	#9E1030FF
org9	org15	-0.10151815181518199	0.176882152678445	-1	#9E1030FF
org9	org17	-0.179333933393339	0.12411150275729599	-1	#9E1030FF
org10	org12	0.269090909090909	0.102997357491404	1	#E3CD81FF
org10	org17	0.14619861986198598	0.175849827984348	1	#E3CD81FF
org11	org12	0.132673267326733	0.189526231633499	1	#E3CD81FF
org11	org13	0.22006600660066	0.00403019874356687	1	#E3CD81FF
org11	org17	-0.10313831383138301	0.141590721393004	-1	#9E1030FF
org11	org19	-0.205424542454245	0.035073943156749	-1	#9E1030FF
org12	org13	0.144662466246625	0.0527848405763507	1	#E3CD81FF
org12	org14	0.165784578457846	0.0889704149216414	1	#E3CD81FF
org12	org17	0.11673567356735699	0.198068155301735	1	#E3CD81FF
org13	org15	0.114047404740474	0.0244458515197039	1	#E3CD81FF
org13	org16	-0.155859585958596	0.10967807373963302	-1	#9E1030FF
org14	org15	0.125064506450645	0.10140294167213099	1	#E3CD81FF
org14	org17	0.113087308730873	0.19819695074111202	1	#E3CD81FF
org15	org17	0.21539753975397502	0.0751646186225116	1	#E3CD81FF
org16	org20	0.184158415841584	0.164882383402437	1	#E3CD81FF
org18	org19	0.10598259825982599	0.175947004836053	1	#E3CD81FF
